"participant_id","complex","simple","ambiguous","unambiguous","nfc","ospan","asq","stroop","crt","iq","nfc_rescaled","ospan_rescaled","asq_rescaled","stroop_rescaled","iq_rescaled","crt_rescaled","study"
76,0.833333333333333,1,0.333333333333333,0.96969696969697,NA,1,23,NA,0.833333333333333,7,NA,1,0.457142857142857,NA,0.7,0.833333333333333,"main"
77,0.333333333333333,0.416666666666667,0,0.96969696969697,NA,0.975,30,NA,0.5,7,NA,0.959798994974874,0.657142857142857,NA,0.7,0.5,"main"
78,0.25,1,0.666666666666667,0.96969696969697,NA,0.878125,22,NA,0.25,8,NA,0.804020100502513,0.428571428571429,NA,0.8,0.25,"main"
79,0.5,0.75,0.555555555555556,0.96969696969697,NA,0.869791666666667,9,NA,0.666666666666667,5,NA,0.790619765494138,0.057142857142857,NA,0.5,0.666666666666667,"main"
80,0.916666666666667,1,0.333333333333333,0.96969696969697,NA,0.975,34,NA,0.8,9,NA,0.959798994974874,0.771428571428571,NA,0.9,0.8,"main"
81,0.333333333333333,1,0.111111111111111,0.96969696969697,NA,1,9,NA,0.833333333333333,8,NA,1,0.057142857142857,NA,0.8,0.833333333333333,"main"
82,0.666666666666667,1,0.666666666666667,0.96969696969697,NA,1,21,NA,0.2,7,NA,1,0.4,NA,0.7,0.2,"main"
83,0.833333333333333,0.916666666666667,0.666666666666667,0.96969696969697,NA,0.9625,22,NA,1,7,NA,0.939698492462312,0.428571428571429,NA,0.7,1,"main"
84,0.416666666666667,1,0.666666666666667,0.96969696969697,NA,0.975,24,NA,0.4,6,NA,0.959798994974874,0.485714285714286,NA,0.6,0.4,"main"
85,0.833333333333333,0.916666666666667,0.555555555555556,0.939393939393939,NA,0.9875,16,NA,0.5,8,NA,0.979899497487437,0.257142857142857,NA,0.8,0.5,"main"
86,0.333333333333333,0.75,0.444444444444444,0.96969696969697,NA,1,18,NA,0.2,3,NA,1,0.314285714285714,NA,0.3,0.2,"main"
87,0.416666666666667,0.75,0.555555555555556,0.96969696969697,NA,0.96875,29,NA,0.5,5,NA,0.949748743718593,0.628571428571429,NA,0.5,0.5,"main"
88,0.833333333333333,1,0.444444444444444,0.96969696969697,NA,0.975,13,NA,0.6,8,NA,0.959798994974874,0.171428571428571,NA,0.8,0.6,"main"
89,0.666666666666667,1,0.666666666666667,0.96969696969697,NA,1,23,NA,0.333333333333333,6,NA,1,0.457142857142857,NA,0.6,0.333333333333333,"main"
90,0.583333333333333,1,0.666666666666667,0.96969696969697,NA,0.91875,20,NA,0.25,7,NA,0.869346733668342,0.371428571428571,NA,0.7,0.25,"main"
91,0.583333333333333,0.916666666666667,0.222222222222222,0.96969696969697,NA,0.953125,11,NA,0.166666666666667,2,NA,0.924623115577889,0.114285714285714,NA,0.2,0.166666666666667,"main"
92,0.583333333333333,1,0.444444444444444,0.96969696969697,NA,0.9375,17,NA,0.25,7,NA,0.899497487437186,0.285714285714286,NA,0.7,0.25,"main"
